T,P,grad,thickness,location,reference
150,0.25,17.142857142857142,200,USA,"Brandon and Calderwood, 1990"
275,0.26,30.219780219780223,400,Alaska,"Brantley et al., 1997"
190,0.3,18.095238095238095,200,USA,"Brandon and Calderwood, 1990"
250,0.4,17.857142857142858,100,Japan,Raimbourg et al 2014
255,0.425,17.142857142857142,40,Japan,"Aoki et al, 2008"
255,0.425,17.142857142857142,240,Japan,Kimura and Ludden 1995
225,0.5,12.857142857142858,100,NA,"Ukar and Cloos, 2014"
300,0.5,17.142857142857142,150,New Zealand,"Fagereng and Cooper, 2010"
275,0.55,14.285714285714286,100,Japan,Enami 1983
325,0.6,15.476190476190476,100,NA,"Ukar and Cloos, 2014"
670,0.6,31.904761904761905,50,Egypt,"Farahat, 2011"
240,0.65,10.54945054945055,2600,Iran,"Bonnet et al., 2018"
775,0.65,34.065934065934066,45,New Foundla,"Clague et al., 1981"
225,0.7,9.183673469387756,600,USA,"Dumitru et al., 2010, Wakabayashi 2015"
295,0.7,12.040816326530612,500,USA,"Dumitru et al, 2010Wakabayashi 2015"
400,0.7,16.3265306122449,600,Pakistan,"Anckiewicz et al., 2000 : Guiraud, 1982"
730,0.7,29.79591836734694,50,Dinarides,"Gaggero et al., 2009"
350,0.75,13.333333333333334,300,Turkey,"Candan et al., 2005"
700,0.75,26.666666666666668,50,Egypt,"El-Naby et al., 2000"
750,0.75,28.571428571428573,45,New Foundla,"Savic, 1988"
825,0.77,30.612244897959183,20,Oman-UAE,"Gnos and Kurz, 1994"
250,0.8,8.928571428571429,100,USA,"Terabayashi et al, 1996, Kimura and Ludden 1995"
460,0.8,16.428571428571427,40,Iran,"Bonnet et al., 2018"
900,0.8,32.142857142857146,45,New Foundla,"Jamieson, 1986"
710,0.83,24.440619621342517,50,Dinarides,"Pamic et al., 2002"
300,0.85,10.084033613445378,300,China,"Song et al., 2009"
660,0.85,22.18487394957983,5,Dom Rep,"Krebs et al., 2011"
700,0.85,23.529411764705884,30,Turkey,"Okay et al., 1998"
725,0.85,24.369747899159663,15,N. Caledonia,"Meffre et al., 2012"
800,0.85,26.89075630252101,45,New Foundla,"O'Beime-Ryan et al., 1990"
875,0.85,29.41176470588235,45,Newfoundla,"Jamieson, 1981"
655,0.86,21.760797342192692,10,Cuba,"Lazaro et al., 2013"
310,0.9,9.841269841269842,400,Turkey,"Pourteau et al., 2013, 2014"
430,0.9,13.65079365079365,400,France,"Vitale Brovarone et al., 2013"
455,0.9,14.444444444444445,150,Japan,Enami et al 1994 : Aoya et al 2013
800,0.9,25.396825396825395,45,New Foundla,"Mc Caig, 1983"
500,0.91,15.698587127158556,20,Chile,Hyppolito et al2014
265,0.95,7.969924812030075,350,USA,"Dumitru et al., 2010, Wakabayashi 2015"
300,0.95,9.022556390977444,150,Turkey,"Droop et al, 2005"
