model,n.est,n.sigma,recovered.est,recovered.sigma,rec.ratio.est,rec.ratio.sigma,mode1.maxP.est,mode1.maxP.sigma,mode2.maxP.est,mode2.maxP.sigma,mode1.maxT.est,mode1.maxT.sigma,mode2.maxT.est,mode2.maxT.sigma,mode1.maxGrad.est,mode1.maxGrad.sigma,mode2.maxGrad.est,mode2.maxGrad.sigma,ratio.below.10kbar.est,ratio.below.15kbar.sigma,ratio.below.25kbar.est,ratio.below.25kbar.sigma,ratio.below.30kbar.est,ratio.below.30kbar.sigma,ratio.below.350C.est,ratio.below.350C.sigma,ratio.below.500C.est,ratio.below.500C.sigma,ratio.below.700C.est,ratio.below.700C.sigma,ratio.below.5Ckm.est,ratio.below.5Ckm.sigma,ratio.below.10Ckm.est,ratio.below.10Ckm.sigma,ratio.below.15Ckm.est,ratio.below.15Ckm.sigma,ratio.below.20Ckm.est,ratio.below.20Ckm.sigma,phi,zc,z1100,age,cv
cda46,18891,0,1486.4,16.151910429615306,0.07868297072680112,8.550055809441162e-4,11199.323643086542,21.52172641989749,24623.8997300913,145.54478966948028,655.4520629243287,0.39662108361509607,869.2829091812703,31.185408601923633,0.008407045463783942,1.487003937045822e-5,0.011300075183635785,1.0779641206784683e-5,0.2211172952603917,0.0014795723699617908,0.9940117235205691,4.723447434816344e-4,0.9993271584073848,7.282694967507979e-6,0.2037520980676732,0.0035412954901789953,0.9691294784922264,0.0013139610184802627,0.9980994613945358,3.146032702169483e-4,0.002712612135646518,0.004851535200841681,0.6897194787067198,0.003956840384348598,0.9993271584073848,7.282694967507979e-6,0.9993271584073848,7.282694967507979e-6,13,66,46,32.6,40
cda62,18891,0,1346.6,13.842725621480003,0.07128262135408396,7.327682823291526e-4,11234.29365484281,24.755809295811662,22087.865492337813,927.0325334486621,625.5020435318681,0.7930333761142709,918.6744618950153,0.8457987333524117,0.008504125552393584,1.1451044720138853e-5,0.010753853906990391,4.890977579192263e-5,0.09706934294819852,0.004448110114201035,0.9865749578121727,0.0034984651094289512,0.9940179856905673,0.0028149829116849226,0.26853951381086516,0.004524512946819801,0.8888673508496988,0.0047196268917621955,0.99500816412122,0.002122771584717163,0.0029010454172275807,0.003795016564502253,0.9264470722222562,0.002619073525511471,0.9992573143295677,7.644584742899582e-6,0.9992573143295677,7.644584742899582e-6,13,80,62,32.6,40
cda78,18891,0,1859.1,12.702672739893838,0.09841194219469589,6.724192864270748e-4,13946.710962702236,36.23514295724619,23841.56364110874,69.9751592430095,899.5792743700728,0.5279086281826284,899.5792743700728,0.5279086281826284,0.0077582415390521665,1.0457362536197211e-5,0.012159343868058208,9.807729560836928e-6,0.07108968202059071,0.0041722660801622275,0.856378527315305,0.002606854439460546,0.9966737760543491,5.220096434689017e-4,0.15668359585393096,0.0033502832946637725,0.6188060770898127,0.0032212844066513025,0.9985863172829484,2.1746454558725116e-4,0.0032623895734130957,0.0034580250097555,0.968717894521244,9.938335278878898e-4,0.9994620815054893,3.6689045182559795e-6,0.9994620815054893,3.6689045182559795e-6,13,87,78,32.6,40
cda94,18891,0,1938.45,15.581618725449008,0.10261235508972527,8.248170412074009e-4,12453.809116419796,32.573115385611246,26414.086284937108,42.6433070570899,619.6499554913024,1.0142382344761842,850.5736648852431,0.7907964477890662,0.00796658534115148,1.9306342998536825e-5,0.009360834076712446,2.9456240794527052e-5,0.10864899174898295,0.00360129832622687,0.729411369118645,0.0031512434876836853,0.9940955977577604,9.711116834003561e-4,0.3566155914738131,0.002970159034148091,0.6841316305322349,0.0036798920961082036,0.9991055110914898,6.47541475279e-4,0.0020493688045639395,0.001182376996216116,0.9779420349878373,0.001182047345156863,0.9994840923597854,4.13223628763995e-6,0.9994840923597854,4.13223628763995e-6,13,95,94,32.6,40
cdb46,18891,0,1821.95,20.656272145461493,0.09644539727912763,0.0010934451403028702,10387.624745441608,11.76768225914258,19906.30438258208,6018.916089327686,650.113870047873,0.7661716954349711,952.4028339660543,66.20441571268097,0.008630242148889744,1.3669645582257253e-5,0.012195474516799995,8.96588263812981e-4,0.2017387874522176,0.005505545464506802,0.9840041453971274,0.00484510045828267,0.9975205886492068,0.004218970813889844,0.30973611590220934,0.006371069948654754,0.9669044929445588,0.005542204104979317,0.9944594563352303,0.004346550780099602,0.006699465555426174,0.006631079310641856,0.6719038906329066,0.004655204248853176,0.9994510703641082,6.235325661862059e-6,0.9994510703641082,6.235325661862059e-6,21.5,74,46,32.6,66
cdb62,18891,0,1407.55,11.283313249871993,0.07450902546186014,5.972851225383511e-4,9978.63899578764,19.93020530705209,21627.68008003822,32.281132654456655,583.0797898583905,0.6399761024629068,897.0821933763417,1.1398287707755406,0.008613647333979395,1.0371828556122878e-5,0.010153042699906762,3.453355259791154e-4,0.39816357906872624,0.005468458213970765,0.9966215725999061,5.39264045321744e-4,0.9992895022229914,5.704550688616628e-6,0.6677602522729121,0.003085687589651347,0.9701707460696931,0.001464384068925504,0.9991809878657097,5.5686868146056706e-5,0.006784212092096401,0.003873709371645175,0.8588100566310565,0.008362503208897051,0.9992895022229914,5.704550688616628e-6,0.9992895022229914,5.704550688616628e-6,21.5,79,62,32.6,66
cdb78,18891,0,1887,15.207338948505647,0.09988883595362871,8.050044438359884e-4,9212.237619694968,19.249514167749112,25452.052921978757,898.4115668754479,559.9374342395721,26.005005028050032,868.3093042789221,1.511648700421623,0.008397008483610767,8.270652874439016e-6,0.008397008483610767,8.270652874439016e-6,0.5116758492634803,0.001829789332565462,0.9832872665493021,7.437269596275161e-4,0.9994204547955123,1.3013231237100236e-4,0.689242414418364,0.0021985280992186554,0.9589300888662426,0.0015879655018490961,0.9994497455699488,9.02600770993397e-5,0.0027356833067473775,0.0031205851069026256,0.8833286465730407,0.0028670222186873468,0.9994700257282391,4.253680340451548e-6,0.9994700257282391,4.253680340451548e-6,21.5,94,78,32.6,66
cdb94,18891,0,2350.75,45.130075162916874,0.12443756286062146,0.0023889722705477123,11537.40661758655,664.7565117755731,26286.909716847484,52.726580012063316,593.181647259103,17.10393545035215,857.7447674427864,26.282561004097264,0.007938914992888806,1.2599861430213852e-5,0.00864295210364539,2.532359529434021e-4,0.31573442177387057,0.007541869844035442,0.9245281291495446,0.007529673283032637,0.9951646568519747,0.0017519249565431361,0.6404916802983052,0.044742791838772146,0.8777915468817512,0.008657426437448249,0.9974204326141418,0.0011839094843537005,0.0033542133904900452,0.001156158249763635,0.9519842084567819,0.002729693565437139,0.9995744489497331,8.494868269595754e-6,0.9995744489497331,8.494868269595754e-6,21.5,101,94,32.6,66
cdc46,18891,0,1738.75,23.067121737727877,0.09204118363241755,0.0012210640907166317,10185.100989409453,22.999957663025555,13741.84434503377,4455.776139895463,631.6488014305985,0.6095291762036654,953.2269218423404,45.97683752132915,0.009514798282140663,2.0533813058968508e-5,0.011444898624112961,3.1092432513043006e-5,0.3436652296116646,0.0032412067902187524,0.9982078351251082,6.480656502742299e-4,0.9994247778075979,7.648271893601165e-6,0.37946023093469267,0.006701489746403142,0.9488004225595029,0.003165586149964617,0.999160565033051,4.8167727513602943e-4,0.011588344042722099,0.008812012308055412,0.5497175993495129,0.0067950314300458175,0.9994247778075979,7.648271893601165e-6,0.9994247778075979,7.648271893601165e-6,26.1,69,46,32.6,80
cdc62,18891,0,1294.05,9.058145505565696,0.06850087343179291,4.7949528905646613e-4,9897.536619065952,19.076293766715448,20065.73360680871,19.083719676215306,583.5126507232795,1.4467736504091375,867.3262183932782,1.0356162993309364,0.008703747491863192,1.4092816040046271e-5,0.010417348468562054,2.5990458069310378e-5,0.4612196031533592,0.0020662935963973055,0.999227196280037,5.421786052027422e-6,0.999227196280037,5.421786052027422e-6,0.6671870518652079,0.005176058374568469,0.9748593164584917,0.0013901874423511353,0.999227196280037,5.421786052027422e-6,0.004148679449573382,0.0012234945643329522,0.7762266460324624,0.0037709063565815938,0.999227196280037,5.421786052027422e-6,0.999227196280037,5.421786052027422e-6,26.1,78,62,32.6,80
cdc78,18891,0,1810.3,14.977527025162521,0.09582870149806787,7.928392898820893e-4,9193.116207410556,294.08298321792836,28793.992509185802,589.6538942133319,589.7398907719353,1.3890255093650574,865.0554236524595,1.048849723442053,0.00827061543280558,1.3036959432932405e-5,0.00961354820206521,1.768226525949091e-5,0.3779602603721686,0.002177858919542231,0.96854503693442,0.0018273083818871748,0.9969082432999903,0.0010597711950752736,0.7150277974921001,0.003909854099756575,0.9594317905361547,0.0018190687404056284,0.9994475693134593,4.587719997312732e-6,0.006060068667050529,0.001427120441711697,0.8626353691959128,0.002456027885216771,0.9994475693134593,4.587719997312732e-6,0.9994475693134593,4.587719997312732e-6,26.1,97,78,32.6,80
cdc94,18891,0,2169.5,13.192900802285575,0.11484304695357578,6.983696364557501e-4,11460.984547656277,30.03309804663187,30084.23539073461,210.1242785262687,584.0394394134306,0.9569824956667474,864.1911160545196,0.8391104245159349,0.007741170955268371,1.1964818848884812e-5,0.009906883933385789,3.3099302297797425e-4,0.2170174953869932,0.004959497618007426,0.9582648294817748,0.0015617595194314204,0.9881410039610907,8.540271498758202e-4,0.7111935992388071,0.003283489010546264,0.9458805611517497,0.0014736355389516455,0.997243096657286,3.3947701953780516e-4,0.008520796084391942,6.442170799984971e-4,0.9481062629170369,0.0016386408814823283,0.9995390481315377,2.79888936441073e-6,0.9995390481315377,2.79888936441073e-6,26.1,108,94,32.6,80
cdd46,18891,0,1060.35,30.585987503740128,0.05612990312847388,0.001619077206274952,9973.437888829934,43.95255217098347,17784.977568843355,18.775977221727143,592.035651155002,1.100604627167704,592.035651155002,1.100604627167704,0.009119952869611378,3.293959534516475e-5,0.011845762152105262,6.450978969764888e-4,0.4885728672937099,0.002116717344352767,0.9990561577635299,2.7643922883912374e-5,0.9990561577635299,2.7643922883912374e-5,0.6379142135109929,0.01151472282281141,0.9986088733211872,1.6648916869486878e-4,0.9990561577635299,2.7643922883912374e-5,0.0314995347367735,0.02457192232839383,0.8169581863777291,0.00692498521779253,0.9990561577635299,2.7643922883912374e-5,0.9990561577635299,2.7643922883912374e-5,32.6,67,46,32.6,100
cdd62,18891,0,1364.35,13.693160028968748,0.07222222222222223,7.248509887760721e-4,9865.743973310462,13.915817565726062,16298.918133140804,611.0988565488175,607.0711024388962,2.858768732323621,869.0464103497382,2.1745614895929033,0.008770713743227358,2.18707832247962e-5,0.01111392232397955,9.793386089391563e-6,0.3992546553238896,0.010040048902359093,0.9992669802287522,7.343715104654854e-6,0.9992669802287522,7.343715104654854e-6,0.5604507766279336,0.004335018072168445,0.9910229390541742,7.297010264498019e-4,0.9992669802287522,7.343715104654854e-6,0.006902387611338256,0.001714984525921156,0.7069565779970052,0.007499417078771493,0.9992669802287522,7.343715104654854e-6,0.9992669802287522,7.343715104654854e-6,32.6,77,62,32.6,100
cdd78,18891,0,1899.35,10.9172726495798,0.10054258641681224,5.779086681266109e-4,9954.846469341901,26.99240091246109,19309.300928445293,364.8971397834168,587.0841409333779,0.5819809066652025,893.2108580953361,0.7892001554426417,0.008702138402865876,2.0833678062901606e-6,0.014098282910421126,2.4005776527988617e-5,0.47768451981574167,0.002032650530501396,0.9847987451868648,0.0014678107386538377,0.9967943318892518,8.683988262977705e-4,0.8002931595809072,0.003038141868789281,0.975990331970966,0.0017863137155750511,0.9980791214493536,6.63497683780218e-4,0.004139356382185789,5.869423030592795e-4,0.8844456290034018,0.001802086648578879,0.9994734875981812,3.020914297803537e-6,0.9994734875981812,3.020914297803537e-6,32.6,97,78,32.6,100
cdd94,18891,0,2717.4,15.080136813563376,0.14384627600444655,7.982709657277776e-4,12279.681736843566,40.59889533330179,29023.13257002811,47.64285035147368,586.5151213415315,5.48951851185058,993.5768938555772,0.6739960151083549,0.007441237037592803,1.0198979042059705e-5,0.01018672122069792,7.940089767138379e-4,0.34725481820239523,0.0011313249513037016,0.9778569998065582,7.668300959225145e-4,0.9947544895206782,5.632150422102818e-4,0.7466187016418349,0.0026288074755775083,0.9597824173245872,0.001112870826900988,0.9854548835555628,7.595945798684851e-4,9.329858109639503e-4,2.975563730188467e-4,0.9387560165987014,0.0010888306795338077,0.9996319904007014,2.0442329488854255e-6,0.9996319904007014,2.0442329488854255e-6,32.6,113,94,32.6,100
cde46,18891,0,1627.4,36.77728131676717,0.08614684241173046,0.001946814955098575,11136.841197191041,16.625683902263745,31981.571971189056,5932.082703011152,649.1977679141386,0.5487326647307346,939.6986961351472,58.9843008954222,0.007740581187851922,1.3285023498349297e-5,0.010670768440253726,2.5142585370371845e-5,0.14276775623828578,0.011806492864388736,0.9476301268719557,0.01534828299481371,0.9898928308000037,0.010673859495199417,0.34237407388849017,0.00667435632872796,0.8339765504789499,0.013208563635050578,0.9865554737202259,0.014231550406626435,0.0025352538083090194,0.005596771327456375,0.888297201751925,0.003804017416873761,0.9993852264792065,1.3811581498110196e-5,0.9993852264792065,1.3811581498110196e-5,22,72,46,55,40
cde62,18891,0,1793.65,20.538218546228187,0.09494732941612408,0.0010871959423126472,10765.735011283099,21.52134937644579,22432.088355016123,17.154381870544928,576.6324920150978,1.1289915427145016,894.5553050113672,1.3311437006415348,0.007788349938461778,2.054786552446262e-5,0.010418624837802223,3.375723966232517e-4,0.13308704674056954,0.00626166125803109,0.9977163414439851,0.0011432357781748159,0.9992822969863645,7.136492319960947e-4,0.4704070651726636,0.005182043261312784,0.7856149898178829,0.00566992345942501,0.9983484773614475,9.504663911802819e-4,0.00251441824359216,0.0029474509737358206,0.9894914628467796,8.248009352598124e-4,0.999390263433537,1.63833161065841e-4,0.9993985963594075,1.382023450017989e-4,22,87,62,55,40
cde78,18891,0,1867.25,17.731550827179277,0.09884336456513684,9.386242563749564e-4,13868.99342762667,1018.890402623313,25199.1225192764,34.73995002412802,645.562151838831,3.4201326728955093,903.8064076710104,3.0559778832424684,0.0067539924332104696,1.1531675943270877e-5,0.00981694174414593,6.451931122294431e-4,0.15441207925716663,0.003748449294610986,0.8874929764041787,0.002260175586375948,0.9988639218365679,0.0010726829313513486,0.42914910038049037,0.003648643867000316,0.8305010521911256,0.003754981680437779,0.9955993805653205,0.0027924253054567015,0.0019404611219111878,0.0018070778452999663,0.9956133374495051,4.731129233103843e-4,0.9993213809972109,1.4528040011182894e-4,0.9994588810281242,6.376470147320805e-6,22,90,78,55,40
cde94,18891,0,1804,13.381054950150506,0.095495209358954,7.083296252263254e-4,23866.723973020496,3809.609675282676,25433.516697353316,42.0787776333148,588.1810246827799,1.2969186517702875,954.3592764959684,1.7686248064711756,0.00762802404270285,5.333746676774961e-5,0.009441452611140324,1.3034259534269548e-5,0.22065093270021846,0.004159243328548809,0.7522826381354709,0.004572206910312994,0.997980664402316,3.45758884708281e-4,0.5256520124602195,0.004004302573272355,0.6589540004765364,0.004607261229832275,0.9980142844625737,0.003165107530668692,0.0027624858554151166,0.0013821899005426862,0.9984062830463664,3.276252008274071e-4,0.9994456471729454,4.130213973304781e-6,0.9994456471729454,4.130213973304781e-6,22,100,94,55,40
cdf46,18891,0,2278.65,35.84216129526496,0.12062093060187391,0.0018973141334638164,11100.727911093933,243.4675454093602,26855.875010363136,1628.8566820936537,624.0631284380377,1.2965208348534314,968.410307371298,3.2087117988655014,0.007997127084857945,2.4964975909141137e-5,0.010206289860862838,0.0014425069890278035,0.1957316910127337,0.03139641252195186,0.9480274591188067,0.002330891142084863,0.99704839168777315,0.006145001510038813,0.4355579077889545,0.00414607603305532,0.865478218326344,0.010578605005143734,0.9827644241009177,0.004651362201419606,0.0020348100738857827,0.0032893019293184873,0.7912705896513861,0.01732054015761912,0.9995610381689825,7.060226836859188e-6,0.9995610381689825,7.060226836859188e-6,36.3,78,46,55,66
cdf62,18891,0,1578.8,25.113636471887244,0.08357418876713779,0.0013293968806250196,11358.98854816271,25.548095806256747,22018.878815062315,337.8455361242091,552.4038436009517,0.5582425578514223,920.0541473324894,82.79137863559198,0.0074656794661450586,3.8215317267713084e-5,0.009505717867120372,1.1984088965712604e-5,0.12924559887035253,0.007037971364800709,0.9965316885638159,0.006118748430651841,0.9969806713052124,0.006065364891072926,0.7097215943702564,0.009743255946021741,0.956838518789846,0.009407400401672317,0.996797529150947,0.006137854402825387,0.00798110955298201,0.008548381011159612,0.9869476536409427,8.663295013953586e-4,0.9993664555289682,1.0061402793895413e-5,0.9993664555289682,1.0061402793895413e-5,36.3,82,62,55,66
cdf78,18891,0,1628.75,9.486139473213704,0.08621830501296913,5.021512610880161e-4,9888.830155864935,31.23258457319614,27672.522519930226,122.31057289927847,586.3260672670839,0.6982800611201783,896.8886740280678,1.7953580611441233,0.007128968764557295,1.8614834253618788e-5,0.008744456636044347,4.39160083165907e-4,0.417308019465014,0.008767876173828472,0.9843806266226007,0.0013659819673448542,0.9988546323858936,7.467515672048175e-4,0.8014224505565811,0.0023790659484833787,0.9629769714338706,0.0018611571518568199,0.9963414631784764,7.295781984084707e-4,0.01590411904931107,0.001937725442033958,0.9710666627061184,0.0017265911174664968,0.9993860124067555,3.5834607822300185e-6,0.9993860124067555,3.5834607822300185e-6,36.3,90,78,55,66
