model,id,type,maxZ,maxP,maxT,maxGrad,time.maxP,tstar.maxP,time.maxT,tstar.maxT,cls,recovered,phi,zc,z1100,age,cv
cdh46,1,3,23245.50390625,6641.572544642858,418.1865234375,0.0062457894663433735,8543668.083086167,0.9179021073134294,9307820.534471028,1,13,TRUE,55,59,46,55,100
cdh46,1,7,6990.451171875,1997.271763392857,279.748046875,9.653235119000221e-4,4580160.046855749,0.4920765317609386,514314.4791568388,0.05525616627996876,13,TRUE,55,59,46,55,100
cdh46,2,7,63390.484375,18111.566964285714,716.10296630859375,0.0069900549061484235,9307820.534471028,1,9307820.534471028,1,8,FALSE,55,59,46,55,100
cdh46,3,7,6946.970703125,1984.8487723214287,279.73162841796875,9.69001987433259e-4,4580160.046855749,0.4920765317609386,514314.4791568388,0.05525616627996876,11,FALSE,55,59,46,55,100
cdh46,4,7,63098.671875,18028.191964285714,710.2725830078125,0.00692998077477859,9307820.534471028,1,9307820.534471028,1,8,FALSE,55,59,46,55,100
cdh46,5,7,6959.291015625,1988.368861607143,279.7284851074219,9.6683485319339e-4,4580160.046855749,0.4920765317609386,514314.4791568388,0.05525616627996876,11,FALSE,55,59,46,55,100
cdh46,6,7,75049.3984375,21442.685267857145,872.2513427734375,0.007984758775548146,9307820.534471028,1,9307820.534471028,1,2,FALSE,55,59,46,55,100
cdh46,7,7,105991.7421875,30283.354910714286,975.9119873046875,0.00663176180330381,9307820.534471028,1,9307820.534471028,1,1,FALSE,55,59,46,55,100
cdh46,8,7,42175.40625,12050.116071428572,508.29693603515625,0.005579008169842021,9307820.534471028,1,9307820.534471028,1,14,TRUE,55,59,46,55,100
cdh46,9,7,90178.3046875,25765.229910714286,949.69647216796875,0.007503983075673949,9307820.534471028,1,9307820.534471028,1,2,FALSE,55,59,46,55,100
cdh46,10,7,49662.1875,14189.19642857143,636.5650634765625,0.007320762168935118,9307820.534471028,1,9307820.534471028,1,8,FALSE,55,59,46,55,100
cdh46,11,7,100635.625,28753.035714285717,970.81573486328125,0.006934082586194315,9307820.534471028,1,9307820.534471028,1,1,FALSE,55,59,46,55,100
cdh46,12,7,72301.3359375,20657.524553571428,848.39886474609375,0.007958343470215961,9307820.534471028,1,9307820.534471028,1,2,FALSE,55,59,46,55,100
cdh46,13,7,97924.4921875,27978.426339285714,962.93133544921875,0.007045544174262137,9307820.534471028,1,9307820.534471028,1,1,FALSE,55,59,46,55,100
cdh46,14,7,61772.1953125,17649.198660714286,751.5283203125,0.0077466620360773664,9307820.534471028,1,9307820.534471028,1,5,FALSE,55,59,46,55,100
cdh46,15,7,90781.7421875,25937.640625,950.49017333984375,0.007462846129792928,9307820.534471028,1,9307820.534471028,1,2,FALSE,55,59,46,55,100
cdh46,16,7,109592.09375,31312.026785714286,974.1444091796875,0.006397764521034963,9307820.534471028,1,9307820.534471028,1,1,FALSE,55,59,46,55,100
cdh46,17,8,111226.4375,31778.982142857145,956.3126220703125,0.006143437094893132,9307820.534471028,1,9307820.534471028,1,1,FALSE,55,59,46,55,100
cdh46,18,7,107458.1953125,30702.34151785714,975.093505859375,0.006533643188568462,9307820.534471028,1,9307820.534471028,1,1,FALSE,55,59,46,55,100
cdh46,19,8,111396.421875,31827.54910714286,958.169921875,0.0061507354575880534,9307820.534471028,1,9307820.534471028,1,1,FALSE,55,59,46,55,100
cdh46,20,7,110984.875,31709.964285714286,964.5250244140625,0.006230804192139357,9307820.534471028,1,9307820.534471028,1,1,FALSE,55,59,46,55,100
cdh46,21,8,112136.984375,32039.13839285714,940.606201171875,0.0059534880922008475,9307820.534471028,1,9307820.534471028,1,1,FALSE,55,59,46,55,100
cdh46,22,7,110293.1328125,31512.323660714286,968.20721435546875,0.006303268359756645,9307820.534471028,1,9307820.534471028,1,1,FALSE,55,59,46,55,100
cdh46,23,8,112021.3046875,32006.08705357143,946.10491943359375,0.006008722370368025,9307820.534471028,1,9307820.534471028,1,1,FALSE,55,59,46,55,100
