model,id,type,maxZ,maxP,maxT,maxGrad,time.maxP,tstar.maxP,time.maxT,tstar.maxT,cls,recovered,phi,zc,z1100,age,cv
cdk46,1,3,5953.67578125,1701.0502232142858,276.30670166015625,5.554050609490854e-4,6360450.138607699,0.5304481903229069,6360450.138607699,0.5304481903229069,12,FALSE,68,58,46,85,80
cdk46,1,4,5886.048828125,1681.728236607143,283.06988525390625,0.0017108055926736189,8216933.033069097,0.6852749667730477,8638712.446455305,0.7204504844912238,12,FALSE,68,58,46,85,80
cdk46,1,7,6585.279296875,1881.5083705357144,278.60052490234375,8.50461256062661e-4,5415871.083479934,0.45167227989353537,5415871.083479934,0.45167227989353537,12,FALSE,68,58,46,85,80
cdk46,2,7,22661.1875,6474.625,409.1185302734375,0.006006681259463455,9439120.367620725,0.7872028249781279,10561684.085678816,0.8808222826878325,14,TRUE,68,58,46,85,80
cdk46,3,4,5471.296875,1563.2276785714287,276.67047119140625,6.708594461722113e-4,6360450.138607699,0.5304481903229069,6360450.138607699,0.5304481903229069,12,FALSE,68,58,46,85,80
cdk46,3,7,6535.29296875,1867.2265625000002,278.6211242675781,8.601181759496962e-4,5415871.083479934,0.45167227989353537,5415871.083479934,0.45167227989353537,12,FALSE,68,58,46,85,80
cdk46,4,7,23000.68359375,6571.623883928572,409.42059326171875,0.005931153859217839,9821118.721138451,0.819060685807796,10926060.18130435,0.911210484200218,14,TRUE,68,58,46,85,80
cdk46,5,4,5570.7265625,1591.6361607142858,276.68914794921875,6.622382031910672e-4,6360450.138607699,0.5304481903229069,6360450.138607699,0.5304481903229069,12,FALSE,68,58,46,85,80
cdk46,5,7,6543.654296875,1869.6155133928573,278.61785888671875,8.585201222200301e-4,5415871.083479934,0.45167227989353537,5415871.083479934,0.45167227989353537,12,FALSE,68,58,46,85,80
cdk46,6,7,101633.65625,29038.1875,990.26666259765625,0.007057373404271838,11990709.469167603,1,11990709.469167603,1,7,FALSE,68,58,46,85,80
cdk46,7,7,123673.828125,35335.37946428572,1003.5894775390625,0.005907389531119218,11990709.469167603,1,11990709.469167603,1,3,FALSE,68,58,46,85,80
cdk46,8,7,55327.5234375,15807.863839285714,639.57550048828125,0.006625554113268387,11990709.469167603,1,11990709.469167603,1,13,TRUE,68,58,46,85,80
cdk46,9,7,111311.3125,31803.232142857145,937.9205322265625,0.005973521624107725,11990709.469167603,1,11990709.469167603,1,3,FALSE,68,58,46,85,80
cdk46,10,7,54312.7421875,15517.926339285714,628.91015625,0.0065529771084162315,11990709.469167603,1,11990709.469167603,1,13,TRUE,68,58,46,85,80
