model,id,type,maxZ,maxP,maxT,maxGrad,time.maxP,tstar.maxP,time.maxT,tstar.maxT,cls,recovered,phi,zc,z1100,age,cv
cdl46,1,7,7169.521484375,2048.434709821429,278.46923828125,7.628456506015727e-4,4350229.509300607,0.44815200854756254,502321.90659057756,0.05174820567391184,6,FALSE,85,65,46,85,100
cdl46,2,7,61621.2109375,17606.060267857145,627.055908203125,0.005745682417085736,9707040.080885671,1,9707040.080885671,1,11,TRUE,85,65,46,85,100
cdl46,3,7,7124.166015625,2035.4760044642858,278.4650573730469,7.671153874096556e-4,4350229.509300607,0.44815200854756254,502321.90659057756,0.05174820567391184,6,FALSE,85,65,46,85,100
cdl46,4,7,52396.7421875,14970.497767857145,546.15435791015625,0.005213193540405288,9707040.080885671,1,9707040.080885671,1,11,TRUE,85,65,46,85,100
cdl46,5,7,7135.46484375,2038.7042410714287,278.46636962890625,7.660845857427605e-4,4350229.509300607,0.44815200854756254,502321.90659057756,0.05174820567391184,6,FALSE,85,65,46,85,100
cdl46,6,7,105785.671875,30224.47767857143,1011.332763671875,0.0069795157565791565,9707040.080885671,1,9707040.080885671,1,8,FALSE,85,65,46,85,100
cdl46,7,7,128417.921875,36690.83482142857,1006.2030639648438,0.005709507312215597,9707040.080885671,1,9707040.080885671,1,3,FALSE,85,65,46,85,100
cdl46,8,7,66809.6171875,19088.462053571428,711.34600830078125,0.0065611213887152055,9707040.080885671,1,9707040.080885671,1,8,FALSE,85,65,46,85,100
cdl46,9,7,81413.765625,23261.07589285714,824.21124267578125,0.006770491924114107,9707040.080885671,1,9707040.080885671,1,8,FALSE,85,65,46,85,100
cdl46,10,7,68070.21875,19448.633928571428,737.4525146484375,0.006823138270705756,9707040.080885671,1,9707040.080885671,1,8,FALSE,85,65,46,85,100
cdl46,11,7,122072.078125,34877.73660714286,1002.70654296875,0.005977669538987788,9707040.080885671,1,9707040.080885671,1,3,FALSE,85,65,46,85,100
cdl46,12,7,106406.6875,30401.910714285717,1007.1158447265625,0.0068991513783056395,9707040.080885671,1,9707040.080885671,1,8,FALSE,85,65,46,85,100
cdl46,13,7,121991.171875,34854.62053571429,994.56689453125,0.005914910754940643,9707040.080885671,1,9707040.080885671,1,3,FALSE,85,65,46,85,100
cdl46,14,7,77310.3125,22088.660714285714,847.08355712890625,0.007425704780703173,8988098.419827323,0.9259360572257211,8988098.419827323,0.9259360572257211,8,FALSE,85,65,46,85,100
cdl46,14,27,100440.578125,28697.308035714286,1038.6524658203125,0.0076229396536073805,9707040.080885671,1,9707040.080885671,1,8,FALSE,85,65,46,85,100
cdl46,15,7,76583.9609375,21881.131696428572,806.154296875,0.006961696553017231,9707040.080885671,1,9707040.080885671,1,8,FALSE,85,65,46,85,100
cdl46,16,7,130651.984375,37329.138392857145,991.74932861328125,0.005501250762103331,9707040.080885671,1,9707040.080885671,1,3,FALSE,85,65,46,85,100
cdl46,17,8,131845.84375,37670.24107142857,972.64324951171875,0.005306524874901252,9707040.080885671,1,9707040.080885671,1,3,FALSE,85,65,46,85,100
cdl46,18,7,129521.6875,37006.196428571435,1001.7111206054688,0.005626170679759471,9707040.080885671,1,9707040.080885671,1,3,FALSE,85,65,46,85,100
cdl46,19,8,132014.0625,37718.30357142857,971.0911865234375,0.00528800624193682,9707040.080885671,1,9707040.080885671,1,3,FALSE,85,65,46,85,100
cdl46,20,7,131832.46875,37666.419642857145,977.45587158203125,0.005343568835974114,9707040.080885671,1,9707040.080885671,1,3,FALSE,85,65,46,85,100
cdl46,21,8,132376.65625,37821.90178571428,960.4664306640625,0.005193260278200013,9707040.080885671,1,9707040.080885671,1,3,FALSE,85,65,46,85,100
cdl46,22,7,131576.640625,37593.325892857145,981.85040283203125,0.005387357508634761,9707040.080885671,1,9707040.080885671,1,3,FALSE,85,65,46,85,100
cdl46,23,8,132325.171875,37807.19196428572,964.304443359375,0.0052242852479527525,9707040.080885671,1,9707040.080885671,1,3,FALSE,85,65,46,85,100
cdl46,24,7,131671.1875,37620.33928571429,983.069580078125,0.00539274835717666,9707040.080885671,1,9707040.080885671,1,3,FALSE,85,65,46,85,100
cdl46,25,8,132864.546875,37961.29910714286,948.48736572265625,0.005084030176674294,9707040.080885671,1,9707040.080885671,1,3,FALSE,85,65,46,85,100
cdl46,26,8,132807.25,37944.92857142857,938.09967041015625,0.00500800724666881,9707040.080885671,1,9707040.080885671,1,3,FALSE,85,65,46,85,100
cdl46,27,8,133451.140625,38128.89732142857,906.24969482421875,0.004745180085074441,9707040.080885671,1,9707040.080885671,1,3,FALSE,85,65,46,85,100
cdl46,28,8,133182.515625,38052.14732142857,925.24896240234375,0.004897406835585471,9707040.080885671,1,9707040.080885671,1,3,FALSE,85,65,46,85,100
cdl46,29,8,133531.546875,38151.87053571429,908.0003662109375,0.004755433311990062,9707040.080885671,1,9707040.080885671,1,3,FALSE,85,65,46,85,100
cdl46,30,8,132941.4375,37983.26785714286,939.834716796875,0.005016003507535978,9707040.080885671,1,9707040.080885671,1,3,FALSE,85,65,46,85,100
cdl46,31,8,133735.3125,38210.08928571428,901.868896484375,0.004702339903564176,9707040.080885671,1,9707040.080885671,1,3,FALSE,85,65,46,85,100
cdl46,32,8,133310.296875,38088.65625,925.2137451171875,0.004892448373502187,9707040.080885671,1,9707040.080885671,1,3,FALSE,85,65,46,85,100
cdl46,33,8,133789.09375,38225.45535714286,904.45819091796875,0.004719803185885388,9707040.080885671,1,9707040.080885671,1,3,FALSE,85,65,46,85,100
cdl46,34,8,133235.140625,38067.18303571429,934.15399169921875,0.004962309407246282,9707040.080885671,1,9707040.080885671,1,3,FALSE,85,65,46,85,100
cdl46,35,8,133665.875,38190.25,913.931640625,0.004795028204655826,9707040.080885671,1,9707040.080885671,1,3,FALSE,85,65,46,85,100
cdl46,36,8,133961.09375,38274.59821428572,882.37579345703125,0.004548901299613577,9707040.080885671,1,9707040.080885671,1,3,FALSE,85,65,46,85,100
cdl46,37,8,134380.625,38394.46428571429,865.01275634765625,0.004405491910367706,9707040.080885671,1,9707040.080885671,1,3,FALSE,85,65,46,85,100
cdl46,38,8,134093.234375,38312.352678571435,879.4940185546875,0.004522927807517787,9707040.080885671,1,9707040.080885671,1,3,FALSE,85,65,46,85,100
cdl46,39,8,134616.953125,38461.98660714286,857.42877197265625,0.00434142029221222,9707040.080885671,1,9707040.080885671,1,3,FALSE,85,65,46,85,100
cdl46,40,8,134134.6875,38324.196428571435,883.30133056640625,0.004549914283480224,9707040.080885671,1,9707040.080885671,1,3,FALSE,85,65,46,85,100
cdl46,41,8,134729.953125,38494.27232142857,856.02862548828125,0.004327386835408144,9707040.080885671,1,9707040.080885671,1,3,FALSE,85,65,46,85,100
cdl46,42,8,134272.328125,38363.52232142857,881.9725341796875,0.004535353953293848,9707040.080885671,1,9707040.080885671,1,3,FALSE,85,65,46,85,100
cdl46,43,8,134725.40625,38492.97321428571,859.7967529296875,0.004355501825994215,9707040.080885671,1,9707040.080885671,1,3,FALSE,85,65,46,85,100
cdl46,44,8,134364.984375,38389.99553571429,880.79840087890625,0.0045234880479172925,9707040.080885671,1,9707040.080885671,1,3,FALSE,85,65,46,85,100
cdl46,45,8,134494.5,38427,873.1522216796875,0.004462280774899252,9707040.080885671,1,9707040.080885671,1,3,FALSE,85,65,46,85,100
cdl46,46,8,134901.21875,38543.205357142855,840.60772705078125,0.004207580422995854,9707040.080885671,1,9707040.080885671,1,3,FALSE,85,65,46,85,100
cdl46,47,8,135268.921875,38648.26339285714,828.22509765625,0.004104602076812036,9707040.080885671,1,9707040.080885671,1,3,FALSE,85,65,46,85,100
