model,id,type,maxZ,maxP,maxT,maxGrad,time.maxP,tstar.maxP,time.maxT,tstar.maxT,cls,recovered,phi,zc,z1100,age,cv
cdp46,1,4,17299.328125,4942.665178571428,362.33575439453125,0.00516411699627966,9242243.00091547,0.8975207237000945,9938640.99220011,0.9651484228483609,14,TRUE,110,64,46,110,100
cdp46,1,7,7131.314453125,2037.5184151785716,277.8714904785156,6.831125608801191e-4,4893905.750239895,0.47525063236708737,4893905.750239895,0.47525063236708737,14,TRUE,110,64,46,110,100
cdp46,2,7,24956.16015625,7130.331473214286,435.4066467285156,0.006507677692068451,8110290.878821236,0.7875960563098039,10297526.014567832,1,14,TRUE,110,64,46,110,100
cdp46,3,3,6469.291015625,1848.368861607143,277.7804260253906,7.389412555169752e-4,6099742.425564483,0.5923502807310439,6099742.425564483,0.5923502807310439,12,FALSE,110,64,46,110,100
cdp46,3,7,7085.05859375,2024.3024553571431,277.8529357910156,6.849535154580915e-4,4893905.750239895,0.47525063236708737,488079.33349048934,0.04739772764836984,12,FALSE,110,64,46,110,100
cdp46,4,7,25758.28515625,7359.510044642858,434.3262939453125,0.006263083624034197,8499336.200863522,0.825376521393544,10297526.014567832,1,14,TRUE,110,64,46,110,100
cdp46,5,3,18111.4453125,5174.698660714285,362.8299865722656,0.004959846385659103,9242243.00091547,0.8975207237000945,9938640.99220011,0.9651484228483609,14,TRUE,110,64,46,110,100
cdp46,5,7,7095.640625,2027.325892857143,277.857666015625,6.845986532223791e-4,4893905.750239895,0.47525063236708737,488079.33349048934,0.04739772764836984,14,TRUE,110,64,46,110,100
cdp46,6,7,112615.171875,32175.763392857145,1014.0355224609375,0.0065802458951398505,10297526.014567832,1,10297526.014567832,1,7,FALSE,110,64,46,110,100
cdp46,7,7,128576.90625,36736.258928571435,987.48760986328125,0.005556889107862488,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,8,7,74325.3203125,21235.805803571428,827.937744140625,0.0074663350498510505,9596068.509814652,0.9318809679372664,9596068.509814652,0.9318809679372664,7,FALSE,110,64,46,110,100
cdp46,8,27,97425.375,27835.82142857143,1025.4210205078125,0.007723049775356908,10297526.014567832,1,10297526.014567832,1,7,FALSE,110,64,46,110,100
cdp46,9,7,117319.421875,33519.83482142857,1017.449951171875,0.006345496246691891,10297526.014567832,1,10297526.014567832,1,7,FALSE,110,64,46,110,100
cdp46,10,7,98878.65625,28251.044642857145,987.99530029296875,0.007231037793284825,10297526.014567832,1,10297526.014567832,1,7,FALSE,110,64,46,110,100
cdp46,11,7,122080.59375,34880.169642857145,1002.9275512695312,0.005979062919404676,10297526.014567832,1,10297526.014567832,1,7,FALSE,110,64,46,110,100
cdp46,12,7,112826.6015625,32236.171875,1019.5692749023438,0.006616961466208691,10297526.014567832,1,10297526.014567832,1,7,FALSE,110,64,46,110,100
cdp46,12,27,100064.15625,28589.758928571428,1008.6392822265625,0.007351676262463488,9938640.99220011,0.9651484228483609,9938640.99220011,0.9651484228483609,7,FALSE,110,64,46,110,100
cdp46,13,7,83190.8203125,23768.805803571428,977.26544189453125,0.008465662909068711,9596068.509814652,0.9318809679372664,9596068.509814652,0.9318809679372664,7,FALSE,110,64,46,110,100
cdp46,13,27,107954.2265625,30844.06473214286,1023.728515625,0.006954137318471421,10297526.014567832,1,10297526.014567832,1,7,FALSE,110,64,46,110,100
cdp46,14,7,114988.953125,32853.986607142855,1020.7814331054688,0.00650307192807108,10297526.014567832,1,10297526.014567832,1,7,FALSE,110,64,46,110,100
cdp46,14,27,102297.90625,29227.973214285714,1009.5512084960938,0.007200061423506346,9938640.99220011,0.9651484228483609,9938640.99220011,0.9651484228483609,7,FALSE,110,64,46,110,100
cdp46,15,7,112722.5,32206.428571428572,1003.2753295898438,0.006478523183835026,10297526.014567832,1,10297526.014567832,1,7,FALSE,110,64,46,110,100
cdp46,16,7,130732.609375,37352.17410714286,977.24066162109375,0.0053868783388313956,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,17,8,131589.4375,37596.982142857145,966.94769287109375,0.005273582029493011,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,18,7,129623.3125,37035.232142857145,985.23541259765625,0.005494655234934351,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,19,8,131717.921875,37633.69196428572,967.3836669921875,0.005271747816148785,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,20,7,131546.40625,37584.6875,973.72369384765625,0.005326817461785705,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,21,8,132047.203125,37727.77232142857,958.064208984375,0.0051880251362527675,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,22,7,131315.703125,37518.77232142857,977.50555419921875,0.00536497568404745,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,23,8,131983.609375,37709.60267857143,963.18963623046875,0.0052293587021814145,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,24,7,131355.078125,37530.02232142857,979.7647705078125,0.005380566785817307,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,25,8,132476.78125,37850.50892857143,947.41644287109375,0.005090827513376754,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,26,8,132463.15625,37846.61607142857,933.90118408203125,0.004989320825442971,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,27,8,133111.59375,38031.88392857143,902.1402587890625,0.004726412185933748,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,28,8,132820.25,37948.642857142855,922.1484375,0.004887420686981089,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,29,8,133174.34375,38049.8125,904.28948974609375,0.004740323638697065,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,30,8,132569.96875,37877.13392857143,937.7025146484375,0.0050139750421298755,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,31,8,133368.21875,38105.20535714286,897.96282958984375,0.004685995175217437,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,32,8,132928.65625,37979.61607142857,922.67681884765625,0.004887409811965629,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,33,8,133404.359375,38115.53125000001,900.99444580078125,0.004707450706580639,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,34,8,132837.265625,37953.50446428571,932.3070068359375,0.004963268430239773,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,35,8,133268.578125,38076.73660714286,910.98333740234375,0.004787200001518315,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,36,8,133622.375,38177.82142857143,877.925537109375,0.004527127564596685,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,37,8,134038.109375,38296.60267857143,859.7669677734375,0.004377612982676685,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,38,8,133745.78125,38213.080357142855,874.916015625,0.004500448612280995,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,39,8,134266.734375,38361.924107142855,851.84820556640625,0.004311181084882227,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,40,8,133770.15625,38220.044642857145,878.73065185546875,0.004528144907922755,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,41,8,134368.265625,38390.93303571428,850.8193359375,0.004300266385443271,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,42,8,133890.984375,38254.56696428571,877.71026611328125,0.004516437525170606,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,43,8,134352.53125,38386.4375,854.77239990234375,0.004330193071091422,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,44,8,133973.671875,38278.19196428572,876.543212890625,0.004504938951391453,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,45,8,134110.421875,38317.26339285714,868.50347900390625,0.00444039673187335,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,46,8,134568.5625,38448.16071428572,834.04876708984375,0.004169240992596943,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,47,8,134928.78125,38551.080357142855,821.50006103515625,0.004065107947717094,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,48,8,134553.984375,38443.99553571429,839.44683837890625,0.004209810961823525,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,49,8,135303.5625,38658.16071428572,807.0389404296875,0.003946968805272126,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,50,8,134739.75,38497.07142857143,836.25634765625,0.0041803279852920166,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,51,8,135402.46875,38686.419642857145,807.456787109375,0.003947171658266939,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,52,8,134540.125,38440.03571428571,846.197509765625,0.004260420523361525,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,53,8,135179.34375,38622.66964285714,819.02703857421875,0.004039278660680869,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,54,8,134949.59375,38557.02678571428,833.9698486328125,0.0041568843080182485,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,55,8,135583.203125,38738.05803571429,808.595458984375,0.003950308346754328,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,56,8,135496.734375,38713.35267857143,797.09686279296875,0.0038679667462868973,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,57,8,135855.859375,38815.95982142857,787.9515380859375,0.0037904256795029197,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,58,8,135820.203125,38805.77232142857,791.17010498046875,0.0038151180241099993,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,59,8,135985.046875,38852.87053571428,787.72430419921875,0.0037851537064392303,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,60,8,135854.640625,38815.61160714286,795.81231689453125,0.00384832137120477,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,61,7,62245.859375,17784.53125,674.44439697265625,0.006449334959842961,10297526.014567832,1,10297526.014567832,1,9,FALSE,110,64,46,110,100
cdp46,62,4,23283.52734375,6652.436383928572,362.08123779296875,0.0038259339522660786,10297526.014567832,1,9596068.509814652,0.9318809679372664,14,TRUE,110,64,46,110,100
cdp46,62,7,7168.365234375,2048.1043526785716,277.8728942871094,6.797776240169822e-4,4893905.750239895,0.47525063236708737,488079.33349048934,0.04739772764836984,14,TRUE,110,64,46,110,100
cdp46,63,7,81856.8984375,23387.685267857145,878.3702392578125,0.007395470031399117,10297526.014567832,1,10297526.014567832,1,3,FALSE,110,64,46,110,100
cdp46,64,7,25354.44921875,7244.128348214285,434.1955261230469,0.00635768202780916,8110290.878821236,0.7875960563098039,10297526.014567832,1,14,TRUE,110,64,46,110,100
cdp46,65,7,73917.859375,21119.388392857145,745.83489990234375,0.006396761268525895,10297526.014567832,1,10297526.014567832,1,3,FALSE,110,64,46,110,100
cdp46,66,7,69755.078125,19930.022321428572,732.27032470703125,0.006584041435435368,10297526.014567832,1,10297526.014567832,1,6,FALSE,110,64,46,110,100
cdp46,67,7,70671.7109375,20191.917410714286,842.5911865234375,0.008059677330115403,9242243.00091547,0.8975207237000945,9242243.00091547,0.8975207237000945,7,FALSE,110,64,46,110,100
cdp46,67,27,98669.5546875,28191.301339285714,1159.7899169921875,0.008987472577542005,10297526.014567832,1,10297526.014567832,1,7,FALSE,110,64,46,110,100
cdp46,68,7,112204.796875,32058.513392857145,1021.798583984375,0.0066734988595769425,10297526.014567832,1,10297526.014567832,1,7,FALSE,110,64,46,110,100
cdp46,68,27,99428.984375,28408.28125,1008.15185546875,0.007393737953674537,9938640.99220011,0.9651484228483609,9938640.99220011,0.9651484228483609,7,FALSE,110,64,46,110,100
cdp46,69,7,112423.796875,32121.08482142857,1008.3590087890625,0.006540955111191289,10297526.014567832,1,10297526.014567832,1,7,FALSE,110,64,46,110,100
cdp46,70,7,91807.671875,26230.76339285714,988.4827880859375,0.007793278856478327,9938640.99220011,0.9651484228483609,9938640.99220011,0.9651484228483609,7,FALSE,110,64,46,110,100
