model,phi,zc,z1100,age,cv,tcut,n,est.rec,sd.rec,est.lost,sd.lost,est.ratio,sd.ratio,est.chaos,sd.chaos,est.transformed,sd.transformed,est.Tanomaly,sd.Tanomaly,est.Panomaly,sd.Panomaly,est.subducted,sd.subducted,est.med.maxP,sd.med.maxP,est.iqr.maxP,sd.iqr.maxP,est.max.maxP,sd.max.maxP,est.med.maxT,sd.med.maxT,est.iqr.maxT,sd.iqr.maxT,est.max.maxT,sd.max.maxZ,est.med.maxZ,sd.med.maxZ,est.iqr.maxZ,sd.iqr.maxZ,est.max.maxZ
cda46,13,66,46,32.6,40,50,18802,1463.42,11.924154248643998,15457.58,11.924154248643998,0.08648543230305537,7.046956000616983e-4,518.43,7.703147723397545,2776.67,12.915463287052138,25.08,1.6310125751207512,35.01,3.0167713023875518,12129.31,18.23732159583469,11498.229940999512,16.3082560445625,2848.0920527176067,51.93948974181796,28922.345930085194,659.8783266031339,653.2657321166993,0.2936417970385571,53.95212188720703,0.5921201580563192,976.0396643066406,2084.020470750946,39334.22912109375,50.291349881313145,9466.60275390625,165.8101384196591,94545.192578125
cdb46,21.5,74,46,32.6,66,36,18913,1715.85,13.26754603450757,15305.15,13.267546034507562,0.10080782562716645,7.794809960935068e-4,53.29,2.4383095651195594,3291.03,14.284592957434812,30.54,1.9197011551938294,83.81,8.373473025277535,11903.43,19.049247711755925,11041.249675440955,18.605788152667095,2278.7363137103152,29.740970855931554,26738.434228355025,367.5131174862355,645.6053955078125,0.30399459189588834,52.945953826904294,0.5631518908707214,897.1599108886719,1144.733767384011,37871.9405859375,54.38178132223555,6703.84623046875,85.13276816107155,87696.53328125
cdc46,26.1,69,46,32.6,80,35,18921,1605.58,12.96629663723797,15422.42,12.96629663723797,0.09429058022081278,7.614691471246143e-4,14.56,1.2170505828486016,3033.3,14.12963073284169,54.85,2.235503242555185,138.32,16.846832271253774,12242.62,22.41967930640447,10401.773127980849,11.47531388257724,1786.562495321131,9.986407210139106,23229.961646298234,206.84976257078006,637.3438693237305,0.29123636741322995,64.58166717529296,0.6773652243072961,827.48419189453125,650.7242160181044,36618.071015625,43.436213758088044,5337.049375,27.513877685106404,76603.46734375
cdd46,32.6,67,46,32.6,100,29,18912,862.74,10.079101290704585,16157.26,10.079101290704592,0.050689776733255,5.921916152000342e-4,165.92,4.026879384307106,2577.24,16.418220969337085,140.19,3.978972508352152,217.94,9.245058740273697,13197.99,20.077373062502705,9343.169898898155,7.83756306964964,1150.6128266358337,10.80122212973425,20086.402801292366,38.25872261586394,614.0809494018555,1.0389532412221612,84.37422424316406,0.9967457235286192,823.7339172363281,116.3392080995045,33329.75021484375,34.95005393808868,3883.219228515625,33.211423305102194,66923.27609375
cde46,22,72,46,55,40,41,18760,1803.01,12.723552486581248,15080.99,12.723552486581239,0.106788083392561,7.535863827636371e-4,6326.99,19.875620821254948,2029.26,13.640122040983696,41.53,2.190221611406183,89.53,7.410687068570824,6613.76,20.689684151843156,11097.05117102531,14.29088935130655,4046.128345994532,76.46361114306822,31026.052904921093,56.26126513448945,621.8518377685547,1.517025444704211,134.4611846923828,1.1704903813649334,1004.5656665039063,175.39775820562525,39698.64796875,52.275998136982665,11794.928369140625,241.68549788401378,101229.323671875
cdf46,36.3,78,46,55,66,38,18782,1762.78,12.055075631651942,15140.22,12.055075631651942,0.10428799621368988,7.131914826747882e-4,201.48,4.404955886684494,3251.67,14.401918362678364,157.94,3.6812931412642467,233.03,4.347192290212245,11412.83,19.364162984255433,10708.799894566897,6.653890799097022,1810.1452687981093,15.598840728044399,30538.306317856906,97.81196911615977,630.5563986206055,0.4814871970469608,67.55504135131837,0.6761005412994467,991.2088159179688,329.36157624303706,39347.18849609375,39.33633400972126,4999.575,36.179976778983644,99880.47828125
cdg46,44,78,46,55,80,30,18794,1838.99,11.684830016960133,15075.01,11.684830016960122,0.10872590753222183,6.908377685325842e-4,4190.42,16.911642036290754,2634.62,15.279073957871297,195.16,5.1241555106153545,278.16,7.089215026853798,7957.13,20.355752667653107,11077.954060893831,15.173541395898933,1908.5942881732685,15.37854824681085,27872.95244142224,113.83445642357442,678.6121560668945,1.0289391678353348,140.30991302490236,1.057188428509071,986.1529760742187,348.99315565895023,40744.3215234375,30.43057731583357,5205.8082421875,40.70902341073234,91509.8021875
cdh46,55,59,46,55,100,21,18812,893.61,9.196941740260035,16036.39,9.196941740260032,0.052782634376845834,5.432334164359148e-4,11546.64,18.752249696686224,2285.94,13.986876966382706,335.63,5.790369922412889,379.42,21.817044583156413,1808.91,26.102012384202297,9310.616219988327,40.119236550868884,3086.6762030010696,36.763289859957844,31870.949473814442,12044.098759452969,649.5782836914062,1.8494689067994468,170.2273812866211,2.96022377329562,1017.1454663085938,37282.692785213534,36712.5394921875,106.05565088890192,6871.689638671875,99.65443335500393,103830.829453125
cdi46,34,80,46,85,40,46,18719,971.67,9.352852965050749,15875.33,9.352852965050754,0.05767614412061495,5.5516430017515e-4,7377.2,21.528932846171212,728.48,9.541488353501256,27.77,1.7457307231001455,127.38,8.772984242847613,7639.47,22.79972310659438,9705.957713783684,13.321398100544057,2691.2501721795143,20.34100624061543,31574.59673307628,71.44281864083153,590.2639505004882,0.931460236463463,118.90990936279297,2.2108579159055752,1006.6267901611328,220.41157175781413,39822.2674609375,50.318187515463,7454.402802734375,133.9759287928907,102986.59765625
cdj46,56.1,70,46,85,66,32,18750,1097.46,10.652850901201631,15777.54,10.652850901201623,0.06503466666666667,6.312800534045413e-4,7816.83,19.809218851715276,2365.63,15.216056776917725,306.95,6.238322424070968,496.78,9.970238541060915,5095.62,18.81101117468547,9523.563427606081,20.282491189212045,16536.250814547177,51.93703323251641,31899.991877516182,61.97981416639619,632.937141418457,0.558289200143884,282.98559158325196,2.352631967174554,1009.1597741699219,189.03094016766454,38208.22607421875,70.111165658493,47601.865966796875,150.5441398381539,104297.439609375
