T,P,grad,reference
190,0.3,18.095238095238095,"Brandon and Calderwood, 1990"
255,0.425,17.142857142857142,"Aoki et al., 2008"
250,0.5,14.285714285714286,"Grove and Bebout, 1995"
300,0.5,17.142857142857142,"Fagereng and Cooper, 2010"
400,0.5,22.857142857142858,"Dachs and Proyer, 2001"
350,0.52,19.23076923076923,Ramirez-Sanchez et al. 2005
265,0.525,14.421768707482991,Willner et al. 2000
200,0.55,10.38961038961039,"Topuz et al., 2006"
450,0.55,23.376623376623375,"Trommsdorf, 2000"
328,0.565,16.586599241466498,"Abbott et al., 2003"
300,0.6,14.285714285714286,Escuder-Viruete et al. 2011
300,0.6,14.285714285714286,Nakajima et al. 1990
345,0.6,16.428571428571427,"Korikovsky and Karamata, 2011"
350,0.6,16.666666666666668,Nakajima et al. 1990
450,0.6,21.428571428571427,"Smith et al., 1999"
525,0.6,25,"Ave Lallemant, 1997"
275,0.65,12.087912087912088,"Schermer, 1990"
280,0.65,12.307692307692308,"Tsujimori and Liou, 2007"
337.5,0.65,14.835164835164836,"Smith et al., 1999"
370,0.65,16.263736263736263,"Patrick, 1995"
375,0.65,16.483516483516482,"Torabi, 2011"
320,0.7,13.06122448979592,"Willner et al., 2001"
350,0.7,14.285714285714286,"Hoinkes et al., 1999"
320,0.72,12.6984126984127,"Topuz et al., 2008"
250,0.75,9.523809523809524,"Harlow et al., 2011"
320,0.75,12.19047619047619,Escuder-Viruete et al. 2011
320,0.75,12.19047619047619,"Goncalves et al., 2000"
340,0.75,12.952380952380953,Vitale Brovarone and Agard 2013
250,0.8,8.928571428571429,"Terabayashi et al, 1996"
290,0.8,10.357142857142858,"Topuz et al., 2008"
335,0.8,11.964285714285714,Zhang et al. 2009
360,0.8,12.857142857142858,"Faryad, 1995"
360,0.8,12.857142857142858,Zhang et al. 2009
400,0.8,14.285714285714286,"Clarke et al., 1997"
440,0.8,15.714285714285714,"Mori et al., 2007"
400,0.815,14.022787028921998,Willner 2005
275,0.85,9.243697478991596,"Tsujimori and Liou, 2005"
300,0.85,10.084033613445378,"Song et al., 2009"
377,0.85,12.672268907563025,"Miyazaki et al., 2013"
345,0.875,11.26530612244898,Zhang et al. 2009
275,0.9,8.73015873015873,"Grove and Bebout, 1995"
350,0.9,11.11111111111111,"Harlow et al., 2011"
350,0.9,11.11111111111111,"Torabi and Arai, 2013"
370,0.9,11.746031746031743,Baziotis et al. 2009
375,0.9,11.904761904761903,"Reddy et al., 1999"
380,0.9,12.063492063492063,"Faryad, 1995"
465,0.9,14.761904761904765,Willner et al. 2000
520,0.9,16.50793650793651,"Inui and Toriumi, 2002"
556,0.915,17.361436377829822,"Jacobson, 1995"
300,0.95,9.022556390977444,"Candan et al., 2005"
350,0.95,10.526315789473683,"Tricart and Schwartz, 2006"
400,0.95,12.030075187969924,"Tricart and Schwartz, 2006"
270,1,7.714285714285714,Banno et al. 2000
310,1,8.857142857142858,"Droop et al., 2005"
325,1,9.285714285714286,"Ao and Bhowmik, 2014"
350,1,10,"Hoinkes et al., 1999"
360,1,10.285714285714286,"Chew et al., 2003"
375,1,10.714285714285714,Escuder-Viruete et al. 2011
385,1,11,"Zhou et al., 2009"
400,1,11.428571428571429,Fitzherbert et al. 2003
